지역명,2022관광지출액,2021관광지출액,2022검색건수,2021검색건수,2022방문자수,2021방문자수,폐업추세,,,영업상태구분코드,,,폐업일자,,지역명1,,,,
,,,,,,,,97,,3,,,2018,,전라북도 무주군 설천면 삼공리 522-9번지,,,,
,,,,,,,,98,,3,,,2018,,경기도 파주시 파평면 율곡리 307-1번지,,,,
,,,,,,,,99,,3,,,2020,,경기도 양평군 단월면 덕수리 370,,,,
,,,,,,,,100,,3,,,2020,,경기도 양평군 단월면 부안리,,,,
,,,,,,,,101,,3,,,2020,,경기도 양평군 양평읍 백안리 17-32,,,,
,,,,,,,,102,,3,,,2020,,경기도 양평군 강하면 왕창리 298-1,,,,
,,,,,,,,103,,3,,,,,강원도 횡성군 둔내면 삽교리 1460번지,,,,
,,,,,,,,104,,3,,,2014,,강원도 횡성군 서원면 석화리 232번지,,,,
,,,,,,,,105,,3,,,2018,,전라남도 나주시 석현동 203-2번지,,,,
,,,,,,,,106,,3,,,2021,,전라남도 진도군 의신면 초사리 657,,,,
,,,,,,,,107,,3,,,2020,,전라남도 구례군 토지면 외곡리 505-7,,,,
,,,,,,,,108,,3,,,2014,,전라남도 함평군 신광면 동정리 296번지 26통,,,,
,,,,,,,,109,,3,,,2019,,전라남도 함평군 해보면 대각리 538-0번지,,,,
,,,,,,,,110,,3,,,2020,,전라남도 함평군 해보면 광암리 393-9번지,,,,
,,,,,,,,111,,3,,,2016,,전라남도 담양군 금성면 덕성리 512-1번지,,,,
,,,,,,,,112,,3,,,2016,,전라남도 담양군 금성면 덕성리 512-1번지,,,,
,,,,,,,,113,,3,,,2017,,전라남도 해남군 북평면 동해리 521번지,,,,
,,,,,,,,114,,3,,,2015,,경상남도 거제시 일운면 망치리 32-2번지,,,,
,,,,,,,,115,,3,,,2020,,충청남도 보령시 신흑동 2304-7번지,,,,
,,,,,,,,116,,3,,,2015,,경상남도 통영시 용남면 원평리 1172번지,,,,
,,,,,,,,117,,3,,,2018,,경상남도 통영시 산양읍 영운리 506번지,,,,
,,,,,,,,118,,3,,,2016,,경상남도 통영시 용남면 화삼리 945-23번지,,,,
,,,,,,,,119,,3,,,2014,,경상남도 통영시 용남면 동달리 97번지,,,,
,,,,,,,,120,,3,,,2019,,경상남도 통영시 산양읍 영운리 478번지,,,,
,,,,,,,,121,,3,,,2019,,경상남도 통영시 산양읍 영운리 478-2번지,,,,
,,,,,,,,122,,3,,,2019,,경상남도 통영시 산양읍 영운리 478-3번지,,,,
,,,,,,,,123,,3,,,2018,,경상남도 통영시 욕지면 서산리 307-15번지,,,,
,,,,,,,,124,,3,,,2015,,경상남도 통영시 용남면 동달리 164-6번지,,,,
,,,,,,,,125,,3,,,2021,,경상남도 통영시 평림동 967-2,,,,
,,,,,,,,126,,3,,,2015,,경상남도 통영시 평림동 967번지,,,,
,,,,,,,,127,,3,,,2017,,강원도 춘천시 남산면 창촌리 86-4번지,,,,
,,,,,,,,128,,3,,,2017,,강원도 춘천시 남산면 서천리 319번지,,,,
,,,,,,,,129,,3,,,2022,,울산광역시 울주군 서생면 대송리 25-16,,,,
,,,,,,,,130,,3,,,2021,,전라남도 보성군 보성읍 보성리 1141-2,,,,
,,,,,,,,131,,3,,,2021,,전라남도 보성군 보성읍 봉산리 1145,,,,
,,,,,,,,132,,3,,,2020,,전라남도 보성군 벌교읍 장양리 558-3,,,,
,,,,,,,,133,,3,,,2011,,전라남도 무안군 몽탄면 봉명리 580번지,,,,
,,,,,,,,134,,3,,,2012,,전라남도 무안군 망운면 피서리 809-54번지,,,,
,,,,,,,,135,,3,,,2020,,전라남도 영광군 염산면 두우리 969,,,,
,,,,,,,,136,,3,,,2018,,경기도 화성시 서신면 제부리 288-101,,,,
,,,,,,,,137,,3,,,2021,,강원도 춘천시 남산면 서천리 532,,,,
,,,,,,,,138,,3,,,2021,,강원도 원주시 소초면 학곡리 57-13,,,,
,,,,,,,,139,,3,,,2019,,경상남도 거제시 장목면 유호리 78-32번지,,,,
,,,,,,,,140,,3,,,2022,,경상남도 거제시 남부면 저구리 737-70,,,,
,,,,,,,,141,,3,,,2014,,경상남도 거제시 장목면 관포리 586-2번지,,,,
,,,,,,,,142,,3,,,2020,,경상남도 거제시 하청면 석포리 24-12번지,,,,
,,,,,,,,143,,3,,,2014,,경상남도 거제시 장목면 관포리 581-4번지,,,,
,,,,,,,,144,,3,,,2014,,경상남도 거제시 장목면 관포리 581-7번지,,,,
,,,,,,,,145,,3,,,2014,,경상남도 거제시 장목면 관포리 586-7번지,,,,
,,,,,,,,146,,3,,,2014,,경상남도 거제시 장목면 관포리 581-4번지,,,,
,,,,,,,,147,,3,,,2015,,경상남도 거제시 동부면 학동리 229-2번지,,,,
,,,,,,,,148,,3,,,2021,,경상남도 거제시 일운면 망치리 463-2,,,,
,,,,,,,,149,,3,,,2020,,경상남도 거제시 하청면 석포리 24-6번지,,,,
,,,,,,,,150,,3,,,2020,,경상남도 거제시 하청면 석포리 24-7번지,,,,
,,,,,,,,151,,3,,,2017,,강원도 정선군 정선읍 회동리 168번지,,,,
